slang	formal
smulla fto lainnn sygku guanteng hdpn	semula foto lain sayangku  ganteng hadapan
lha branjak krik mnyakitiku kuu ambl	lah beranjak garing menyakitiku  ku ambil
diihhhh nyoblos trf kakakuuu spa	dih mencoblos transfer kakakku siapa
nganggepin dripda wihhhhhh betuuuuulllllllllllllllll nged	menanggapi daripada wih betul banget
mba adaaa miapah	mbak ada demi apa
hbd perna hubdar	happy birthday pernah perhubungan darat
bay to nmny	selamat tinggal tapi namanya 
senengg khabar uuhh helo mehoonggggg	senang kabar  uh halo  mahal
pan gemezz kaliann agan2 mulutny moge	kapan gemas kalian agan-agan mulutnya motor gede
ciye tau2 guaaaaaaa	cie tau-tau gua
kuningggg cieee haloo sesekk ntikk	kuning cie halo sesak cantik
salammmm indonesiaaa aljasa tinggalin brjln recommendasi	salam indonesia asal jadi saja tinggalkan berjalan  rekomendasi
tuwek abal2 mlikk promoo dri	tua abal-abal milik promo dari 
filmny kanggen kageet	filmnya kangen kaget
tngu cocokkk lhirr rhs cpat	tunggu cocok lahir rahasia cepat 
krudungan ntar haslnya ngumpet2 met	kerudungan nanti  hasilnya mengumpet-ngumpet selamat
iyapz maap dilindungin seger yaaa	iya maaf dilindungi segar ya
kapanliburanlagi rejeki anak2e dripada	kapan libur lagi rezeki anak-anaknya daripada
pakke imho ciumman brdiri beda2 ayuk	pakai in my humble opinion ciuman berdiri beda-beda ayo 
kndisi nantiii skrang	kondisi nanti sekarang 
dosaa dijwb bth milis	dosa dijawab butuh  mailing list
inghinn brusaha palinf	ingin berusaha paling
huum pegangin jorookknya mkanan sumbangin	iya memegang joroknya makanan  sumbangkan
wewww cow nihh lamp	wow cowok nih lampiran
melahirin bedua salaam otw waw cups	melahirkan berdua salam on the way wow culun
hehe sellow brengsekk ampuun lam	he selow brengsek ampun salam
trserh berdikari ngumbar2	terserah berdiri di atas kaki sendiri mengumbar-umbar
bnern bener2 mirp napas helow	benaran benar-benar mirip nafas  halo
mnerima bukn buangbuang	menerima bukan buang
surgaa dung baaaaaang kngen	surga dong bang kangen
kunjungin temen-temen jubir dhpusin ngumpet2	kunjungi teman-teman juru bicara dihapuskan mengumpet-ngumpet
cllu dptkan ayooo qo taekk recommendasi	selalu dapatkan ayo kok tahi rekomendasi
manisss penasaraaann kakkkk laenny murhan	manis penasaran kak lainnya murahan
ngp mdg goblok	mengapa lebih baik bodoh
binggo aws napol fto capee	banget awas narapidana politik foto cape
ibu2 beginii waaaww	ibu-ibu begini wow
gimanaaaa cuyyy pkoknyaa	bagaimana cuy pokoknya
niiiihh anjg napol ciapa stp bnerr	nih anjing narapidana politik siapa setiap benar
mrah bazis mnrt akku peliharaaaa temen-temen	marah badan amal menurut aku pelihara teman-teman
nuntut boker shiet mansyoallah	menuntut berak tahi  masyaallah
binggo dii mk.a wadir bngeeeetttt	banget di makanya wakil direktur banget
litbang mgu bucin flm bisaaa catiiiiik	penelitian dan pengembangan minggu budak cinta film bisa cantik
gembel kriput ngak jodohx	jelek  keriput tidak  jodohnya
maap widihh ttinggi iiihhhhh istimewaaa	maaf waduh tinggi ih istimewa
yups sama2 nmbah karna	ya sama-sama bertambah karena 
sie komentar2 amiennn	sih komentar-komentar amien
brthn gksi cuanti ngoceh	bertahan  enggak sih cantik mengoceh
blajar sndri semngat kadit ngg nyusul	belajar  sendiri  semangat kepala direktorat enggak susul 
mesrany sedihhh bisi	mesranya sedih kalau-kalau
woyyy wooow kejahatn jem	woy wow kejahatan jam 
beda2 aljasa sampis gbr	beda-beda asal jadi saja sampah habis gambar 
tullus jangan2 jrnk skit	tulus jangan-jangan jarang sakit
senen kcil yak kmbali dhi	senin  kecil ya kembali di
cantiiillx kuyyy psangan sabi aseekk ceritax	cantik yuk pasangan bisa asyik ceritanya
nyerocos kuyyy somse boss jth	mencerocos yuk sombong sekali bos jatuh
emank sblhny segerr cuantik wawwwww	memang  sebelahnya  segar cantik wow
pngen maen perhatiin kamunyaa huff	ingin  main perhatikan kamunya mengeluh
yeee sneng ngiriii	ya senang mengiri
gj gaenak gantenggg duh pegi tebir2	tidak jelas tidak enak ganteng aduh pergi  ribet-ribet
ttinggi bacot liyat	tinggi banyak bicara lihat
aamin atuhhh amiin jutek dongs	amin atuh amin galak dong
yooow krudungan mudah2an	ya kerudungan mudah-mudahan
hadeeuh soale bete ultha sehat2 senengg	aduh soalnya  sebal  ultah sehat-sehat senang
badingkan bingitt soal'y ngomong2 klmbutan slw	membandingkan banget soalnya ngomong-ngomong kelembutan selow
ngumpul akika ktipu	berkumpul aku tipu
donkk baikxa nyuci bisaa jelek2in	dong baiknya cuci  bisa  menjelek-jelekkan
komenan manusiy setujuuuu dtnggu kzl	komentar manusia setuju ditunggu kesal
keles bangedt imuutt manies	kali banget imut manis
sklinyaa prcuma w pcarny	sekalinya percuma saya pacarnya
mantep abg baguuus ungkapin nemuin ganteeeeng	mantap  abang bagus ungkapkan menemukan ganteng
luph sunggu fatanik skolah ngambeknya sabarrr	cinta sungguh fanatik sekolah  mengambeknya sabar
segala2nya serem kra otw beut	segala-galanya seram kira on the way banget
kamtib amaattt kmauan kayahhh	keamanan dan ketertiban amat kemauan kaya
bangetttt pesenan kuaaatt tehhhh ngetik nyok	banget pesanan kuat teh mengetik yuk
mnjawab kakanga apes	menjawab kakaknya sial
simiskin teyuss cakep hebaat maaci	miskin terus cakap  hebat terima kasih
kab yoookkkk amiennn hianatin apikkkk	kabupaten yuk amien khianati apik
artis2 7an becanda cow sory	artis-artis tujuan bercanda  cowok maaf 
coccokk nyubitt congor	cocok mencubit mulut
kereeeen jodohny telpon	keren jodohnya telepon 
sekaliiiii ammin bngetttt tengil bres	sekali amin banget menyebalkan beres
mrah mlepaskan huft apa2	marah melepaskan mengeluh apa-apa
suaminy laaaah masy ckup	suaminya lah masyarakat cukup 
bela2in jnagn ndut tdur namax	membela-bela jangan gendut tidur  namanya
lagihh bhagia lgu keburu	lagi bahagia lagu terlanjur
temen-temen megang nama.a scr isengin telor	teman-teman memegang namanya secara bercanda telur 
allahhhhhhh gtu2an hubngan gada badaii	allah begitu-gituan hubungan tidak ada badai
nyebut2 mantapp bebrp	menyebut-nyebut mantap beberapa
ntappp aing gmpg ntap perda mbaaa	mantap saya gampang mantap peraturan daerah mbak
kepd bangt kopdar	kepada banget kopi darat
mgu looohh fakultass cewer nerima kalogak	minggu loh fakultas jewer menerima kalo enggak
sukur2 hayukk seharusny	sukur-sukur hayo seharusnya
buad uda mereka2 gasalah	buat  sudah  mereka-mereka enggak salah
kalii lwt hadirr iyuh pantesan	kali lewat hadir ih pantas 
repot2 thdp ajakin pcrnya	repot-repot terhadap mengajak pacarnya
masi yaaaaaa mnilai	masih ya menilai
senangat lgs gile	semangat langsung gila 
nontonnnn cew jatuhnyaa gimanaaaa ampuuunn guaaaaaaa	menonton cewek jatuhnya bagaimana ampun gua
terbaikkk smua sbg cempreeng gemezz	terbaik semua sebagai cempreng gemas
bol3h rinduuuuuuu ht hrs	boleh rindu hati harus 
buaya boljug kha terimaksih didapet skolah	tidak setia boleh juga kah terima kasih didapat sekolah 
wouww seterah siramin gawe ampunnnnn lipetan	wow terserah  siramkan kerja  ampun lipatan
kaloo salfok kbahagiaan byk tuhh ynk	kalo salah fokus kebahagiaan banyak  tuh sayang
akau brpndapat dtng kaaaaaann kemariin nyebur	aku berpendapat datang  kan kemarin mencebur
mmg kopdar enakkkkk ayoook beginiiii bner2	memang  kopi darat enak ayo begini benar-benar
gabisa kluar melahirin ngriii	tidak bisa keluar melahirkan mengiri
pakke hub bgm	pakai hubungi bagaimana 
kuu atw ngarang	ku atau mengarang
woyyy nyerocos sbagai ngcpin ponakn px	woy mencerocos sebagai mengucapkan ponakan punya
bangeet brayyy g lngsung bhwa	banget bray tidak langsung  bahwa
anehhh caaannnttiikkk gw dumsss cp coeggg	aneh cantik saya  dong siapa coeg
jadiin nyupir dodol halow	jadikan menyopir bodoh halo
semogaa siihh kyk.a cth	semoga sih kayaknya contoh 
nnton rights u yaaaaa bikinnn nemenin	nonton  benar untuk ya bikin menemani 
semangaatt boker ksian ckrg	semangat berak kasihan  sekarang 
matii janka suaminga psg pede	mati jangka suaminya pasang  percaya diri
dak didenger dibls kekuranganny berenanh	indak didengar  dibalas kekurangannya berenang
gapapa baik2 mantabs	tidak apa-apa baik-baik mantab
amuh dkk alhamd dbls jgn boleh2	kamu dan kawan-kawan alhamdulillah dibalas  jangan  boleh-boleh
cantikx ujung2 taiiii	cantiknya ujung-ujung tahi
blkngny batwc sihhh	belakangnya  banget sih
gantengnyaaaa dimao ktr blm silahkn	gantengnya dimau kantor  belum  silakan
ngeliatnya smlm brpndapat mano merekak	melihatnya semalam  berpendapat mana  mereka
pgi ciptain nged	pagi ciptakan banget
termuraaahhhh mz dksh nax	termurah mas  dikasih  anak
sj dlu melebihin prjuangan	saja dulu  melebihi perjuangan
mgkin minta luh brengsekk cpt narsis	mungkin meminta lu brengsek cepat  bangga pada diri sendiri
mamas dibls filmny	mas dibalas filmnya
ternodain ngubek2 ajarin	ternodai mencari-cari ajarkan
masalahh mnjual uuhhh bangeeeet	masalah menjual uh banget
belon trmasuk inni gadiss	belum  termasuk ini gadis
menegerti bgussss gda bl euyyyyy	mengerti bagus enggak ada beli  euy
bc ynk okeh klw bangettt	baca sayang oke kalau  banget
maksd s kerrennn cwe hny gemesinnnnn	maksud si keren cewek  hanya  menggemaskan
deres bikinin teros khdpn mokad fb	deras  bikin terus  kehidupan mati facebook 
knsul ketrima redho kpada	konsultasi diterima ridho kepada
knl diurusin shit wenakk coxok	kenal diurusi tahi  enak cocok
pisan dgr embel2 adyem syantiiiiikkkkkkkkkkkk	sangat dengar  embel-embel adem cantik
buber pcrn krena	buka bersama pacaran karena
tuwanya houm sseorg	tuanya rumah seseorang 
kata2nyaaa yowes ngehe pndang dpan	kata-katanya ya sudah kesal pandang depan 
ngalir nyobain dalem gaa	mengalir mencoba dalam  enggak
gabisa koar perna ngfans	tidak bisa teriak pernah fan
cantix nasgor tayik gak papa	cantik nasi goreng tahi tidak apa-apa
tetaplaah trdhulu bgn lgunya maksd nak	tetaplah terdahulu bangun  lagunya maksud anak
kaliaan kocakkk mnilai parahh ktny mdh	kalian kocak menilai parah katanya  mudah 
gino arghhh eakyu menyebut2 sgtu krm	gigi nongol ah waktu menyebut-nyebut sebegitu kirim
gakpapa sory gasalah bngy suces rekomendain	enggak apa-apa maaf  enggak salah banget sukses rekomendasikan
wahhhhhh sihhhh keeeerrrreeeennnnnnnnn bangeet subhanalloh bres	wah sih keren banget subhanallah beres
suamiiiii kau untk	suami kamu  untuk
sud nmny musda nyambungin	sudah namanya  musyawarah daerah menyambung
cuex sls kakkk	cuek selesai  kak
ay nmenarik nyolotinnnn	sayang menarik menyolot
ccok lagu2 stlh nganggur	cocok lagu-lagu setelah  tidak punya pekerjaan
menjelekan kata2 kdua	menjelekkan kata-kata kedua
dbuat lhirr fans2 jlek dimao	dibuat lahir fan-fan jelek dimau
dimasukin halooo sklh elu tenggah iye	dimasuki halo sekolah  lu tengah iya
mrit beneraan ngehe ucull hadeuuhhhh mama.nyy	merit benaran kesal lucu aduh mamanya
hy bnget ganti'kn katrok coz	hai sangat  menggantikan kampungan karena
kecil2 steess keeeeeren sbab jan	kecil-kecil stres keren sebab jangan
anjjjjjjjj kngenn dnk	anjing kangen dong
suaranyaa ayank seh	suaranya sayang sih
org2 rupa2nya can	orang-orang rupa-rupanya belum
ternyataa klakuan ngmpl kale kyy azekkkk	ternyata kelakuan berkumpul  kali kaya asik
mantapppppp merka bokep ngomong pedulilaaaah	mantap mereka porno mengomong pedulilah
ak ketawa nyir2	saya  tertawa  nyinyir
peliharaaaa tengah2 njerr miripppp	pelihara tengah-tengah anjir mirip
trkrim analisise seeeemua gaenak	terkirim analisis semua tidak enak
mokad ngntk mh ngingetin muntaber	mati mengantuk  mah mengingatkan  muntah dan berak
ttp pkoknyaa k'	tetap  pokoknya kak
kyaknya dmna msk sukakkk	sepertinya  dimana  masuk suka
ngomenin kenapaa to	mengomentari kenapa tapi
miripp pnuh bgun	mirip penuh bangun
kemarn kalik tanyang diluarann hokiii	kemarin kali tayang diluaran hoki
nmpk mitnah terrrrbaik indo	nampak memfitnah terbaik indonesia
dasarrr slmt keujanan serem2	dasar selamat  kehujanan  seram-seram
kharismanya mdg batesin macem-macem	karismanya lebih baik batasi macam-macam
chelalyyu analisise jahatin	selalu analisis menjahati
z b2 lbih jwb	saja berdua lebih  jawab
aaaammmiiiinnnn buanyaaak reklamuk bujukk oc shat	amin banyak reklamasi bujuk oke sehat
ntah mngkin stidaknya	entah mungkin setidaknya
emng aaamiiin bingitss repp	memang  amin banget balas
bhn asem info aka ganteung	bahan asam informasi dikenal juga sebagai ganteng
petinggi2 ajah ngecek lucuuuu jugaa	petinggi-petinggi saja  mengecek lucu juga
bapeerr sndiri bangeeet	bawa perasaan sendiri  banget
yukk yep semngat keles gemesss lagiiii	yuk ya semangat kali gemas lagi
khadirannya cyiiin hrusnya thnan wanjir cabol	kehadirannya cinta harusnya tahunan anjir  cabul
hadahhhhhhhh ngademin cewer cantiiikkk nekolim sekolahin	aduh mengademkan jewer cantik neokolonialisme sekolahkan
sseorg naggung sayangkuuuuu	seseorang  menanggung sayangku
punn wwnang oce	pun wewenang oke
sbbyak cemen iyala ciye punye	sebanyak penakut iya lah cie punya 
amiin uwahhhhh kyanya gasuka jl yoiii	amin wah sepertinya  tidak suka jalan  yoi
syang oom ktawa sendri sayangg'' dst	sayang om ketawa sendiri sayang-sayang dan seterusnya
togel sp tokai pcrny	toto gelap siapa tai pacarnya 
bikinin eksprsi ori brshbt	bikin ekspresi orisinal bersahabat 
adaaa gilaaa klauu	ada gila kalau
gosipin bhwa yuuu mbaak gw	menggosipkan bahwa yuk mbak saya 
brarti ngirim btg	berarti mengirim batang 
orng gpl loksyut nasehatin dirumahny bhnya	orang  tidak pakai lama lokasi syuting menasihati dirumahnya bahannya
u banggett klg ngrebut	untuk banget keluarga merebut
saudra tetapppp kau wktunya dtmbh akku	saudara tetap kamu  waktunya ditambah  aku
anjirr banhet sangt ngerussak trasa iyala	anjir banget sangat merusak terasa iya lah
lekong ciyeeeeeee kafeh	laki cie kafe
buka2 personill liatin anjayyyy cabe2	buka-buka personil memperlihatkan anjay cabe-cabe
ko pmbyran tkg jth manta	kok pembayaran tukang jatuh mantan
iyak kangennnnnmnnnnnnnnnnnnnnnnn termiribkan	iya kangen termiripkan
banpres muluuu bgettt	bantuan presiden melulu banget
dateng trdpt cobaaa	datang  terdapat  coba
nraktir iyaappps tnyta	traktir  iya ternyata
keeeeeren nyalahin muantteepp	keren menyalahkan mantap
jaoooh mikirin bngt	jauh memikirkan sangat 
maak lov mba2	mak cinta mbak-mbak
ngeh awal2 dasarrr	engah awal-awal dasar
komen2 kaliannn syp yapp gaenak kadit	komen-komen kalian siapa ya tidak enak kepala direktorat
bejilbbnya spy kra nerusin	berjilbabnya supaya kira meneruskan
enakkkkk malh pilm cow trims nha	enak malah film cowok terima kasih nya
koplakkk hoax nekolin kamtib ketemuuu slaluuuuu	koplak isu bohong neokolonialisme keamanan dan ketertiban ketemu selalu
nilai2 ngebela nakutin yng kaliiin gratisss	nilai-nilai membela menakutkan yang  kalian gratis
pmbantu ccok keee	pembantu cocok ke
melahirin satpam sama2	melahirkan satuan pengamanan sama-sama
dahhhh ngecek hallo genittt	dah mengecek halo genit
jubir ngerendahin kangennnnnnn ampyunnnn jauuhhh menghilangkn	juru bicara merendahkan kangen ampun jauh menghilangkan
tak biza bawak kura2	tidak bisa bawa kura-kura
ilfeel gilaa lol	tidak suka gila tertawa
pleh dumsss apal ngerebut	oleh dong hapal merebut
ruz se7 adenya napsuu tipu2nya warnany	terus setuju adeknya napsu tipu-tipunya warnanya
slmt mang insonniaaa	selamat  memang insomnia
udh waspadalah samsek semangattt bhagia	sudah  waspada sama sekali semangat bahagia
ngegosip kemaren sekali2 woww	gosip  kemarin  sekali-kali wow
bawa2 wowwww grunya mukax cyiiin	bawa-bawa wow gurunya mukanya cinta
ngeidealin rezeqinya luucuuu	mengidealkan rezekinya lucu
cipika cipiki hbng atassss akuhh aamiiiinnnnn	cium pipi kanan cium pipi kiri hubungi  atas aku amin
bingits togel slg bandes cpit sbbrnya	banget toto gelap saling  bantuan desa sipit sebenarnya
geuliiiiiiis ngomentnya mauuuuu indahhh banget diluarann	geulis mengomentarinya mau indah sekali  diluaran
branjak nyambung sklinyaa personill	beranjak menyambung sekalinya personil
bleh brhasil amiiiiinnnnn bgussss rinduuuuuuu	boleh berhasil amin bagus rindu
dalem cug jdikan	dalam  jancuk  jadikan
kraya dngar idamann kqmu	karya dengar  idaman kamu
kocakkk seindonesiyah gaharus kmbl latian ankx	kocak seindonesia enggak harus kembali latihan anaknya
pait mmantab banger kampungn uwakk py	pahit mantap banget kampungan uwak punya
macem pnjual qaqaaaa mblo	macam penjual kakak jomblo
kawinin ayooo mutihin kepeleset smvk terossss	mengawini ayo memutihkan kepleset sempak terus
kocakkk prawatan ultha kosan ngelakuin maem	kocak perawatan ultah kost  melakukan makan
minyak2an cmpk ngomongin mtanya seharusny pnuh	minyak-minyakan cempaka  mengomongkan matanya seharusnya penuh
ndut teruzzz buanget	gendut terus banget
daah baik2nya tawh	dah baik-baiknya tahu
nd keren2 ngeluarin	indak keren-keren mengeluarkan
penyakitny dpke diemm bsen sbgai	penyakitnya dipakai diam bosan sebagai
aahh dmna dsklh baryaw	ah dimana  di sekolah sabar ya
dibls nyusul ngarang	dibalas susul  mengarang
asekk capa ditelp yaudah hilangv adkah	asyik sapa ditelpon ya sudah hilang adakah
bngetttt prmptn entahhh rhs	banget perempatan  entah rahasia
komenx daah ditengah2 epe	komennya dah ditengah-tengah apa
ngefans terjrumus bs mayan astul menjelekan	fan terjerumus bisa  lumayan asal tulis menjelekkan
mahh kejawab murhan kanwil sp astagaaaaaa	mah terjawab murahan kantor wilayah siapa astaga
ktergantungan heeee nga	ketergantungan hai enggak
mengait2kan gksi mksh deeek	mengait-ngaitkan enggak sih terima kasih dek
nggosok woooiiiiiiii dahh bangeeettt simiskin	menggosok woy dah banget miskin
kbr comen2nya baper kasiatnya model2	kabar  komen-komennya bawa perasaan khasiatnya model-model
sabaarrr modes kka sbnr syng kbahagiaan	sabar modis kakak sebenarnya  sayang  kebahagiaan
ilang-in nmnya sendirii gub sekarng cantiikkkk	hilangkan namanya sendiri gubernur sekarang cantik
wihhhhhh samoga batikk msalah rumpiin nyatok	wih semoga batik masalah rumpi mencatok
m nal yawlah	sama kenal ya allah
bokep mikirinnn sihhh syantiek kibus	porno memikirkan sih cantik kaki busuk
drh most belain rubahnn blm niihh	darah  paling membela rubah belum  nih
siapayahh karya2 nihhh sadaar foto2 luff	siapa ya karya-karya nih sadar foto-foto cinta
yodah slmnya toserba mmz	ya sudah salamnya toko serba ada mas
kmauan bay bingiiittttzzzz lucuuu	kemauan selamat tinggal banget lucu
dtmpt nyerocos bikinin	di tempat mencerocos bikin
ngarang buanget cuantikkk mnyngkn cantinya brkunjun	mengarang banget cantik menyenangkan  cantiknya berkunjung
perbaikin benerin duuhhhhh luph bawa2 sebelum2nya	memperbaiki perbaiki duh cinta bawa-bawa sebelum-sebelumnya
mnjijikaaaaaan asekk pkoknyaa	menjijikkan asyik pokoknya
orrunya itungan nyariin bansarkas	orang tuanya hitungan mencari bantuan sarana kesehatan
bcnda mikir2 dimarahin stuju	bercanda memikir-mikir dimarahi setuju
tida taik diihhhh nggosok maen	tidak  tahi dih menggosok main
romantiz udahh wiih ilfeel gtw	romantis sudah wih tidak suka tidak tahu
mudaa doyan boyeh mng yayang sukkaa	muda suka  boleh menang  sayang suka
nggali dongg langgenh tnang	menggali dong langgeng tenang
gada mantaff liyatnya oma2	tidak ada mantap lihatnya oma-oma
sendratari yaaaaa tar nyambung	seni drama tari ya entar menyambung
serem hadeehh yawdah ortunya mane sekangen2	seram aduh ya sudah orang tuanya mana  sekangen-kangen
besook klh mamer	besok kalah  memamerkan
buruannn cieee iiiiiiiiii	buruan cie ih
modes ninggalin ttg	modis tinggalkan  tentang
tutupin muluuu salammmm	menutupi melulu salam
murmer pling temen2 melebihin	murah meriah paling teman-teman melebihi
ngekek sbagai haiii	mengekek sebagai hai
anjayyyy tdnya bwa2 harini	anjay tadinya bawa-bawa hari ini
udehh korup cemungut ngiritya	sudah korupsi semangat mengiritnya
iye aza mngkn mbaa	iya saja mungkin mbak
redho nemuin sembunyi22 mlikk	ridho menemukan sembunyi-sembunyi milik
yaudah reklamuk putihnyaa hellow ongkiir	ya sudah reklamasi putihnya halo ongkir
udehh bhagia mikirin diginikan ktg	sudah bahagia memikirkan dibeginikan kita
gaharus cuex bangeeet	enggak harus cuek banget
penghianat teh nginep iseng2	pengkhianat  kakak perempuan menginap  iseng-iseng
gretong alow ghiy ngerasa indonesiaah bhn	gratis halo lagi merasa indonesia bahan
akku handak tngh yaaah baso	aku bahan peledak tengah ya bakso 
mtanya ikh polll kaliannnnnn aduhh polantas	matanya ih pol kalian aduh polisi lalu lintas
nikmatin dtgkan dituutup	menikmati datangkan ditutup
trjd murmer nyaa	terjadi murah meriah nya
mungki iiihh pljrn emk	mungkin ih pelajaran emak
dsrny ngetik ongkirr idupnya dipake knpa	dasarnya mengetik ongkir hidupnya dipakai kenapa 
hubdar nyerang wong brthn ngerendahin pinter	perhubungan darat menyerang orang bertahan  merendahkan pintar
bedaa haragain perhatiin	beda menghargai perhatikan
jilbabnye muantteepp ngkkkkkk mamax	jilbabnya mantap mengakak mamanya
toketnya kyny apaaa	teteknya sepertinya  apa
ingetin sm sabaarrr	mengingatkan sama  sabar
sembunyi22 kepppoin cpee	sembunyi-sembunyi kepoi capek
pndah thdp emngnya ni	pindah terhadap memangnya ini 
pgn selaloe perbulannn nyir2	ingin  selalu perbulan nyinyir
amiiinn salfok bnran lebarÂ² aph ndiri	amin salah fokus benaran lebar-lebar apa sendiri
sering2 mamz krna duluuu dipendem caya	sering-sering makan karena  dulu dipendam  percaya
wwnang muantteepp brapa disiniii bangeett kaak	wewenang mantap berapa disini banget kak
kenapah selmat mudah2an nm	kenapa selamat mudah-mudahan nama
muraaaaah jl tlng smog lmyn	murah jalan  tolong  semoga lumayan 
bante yukkk bntu eeeehhhh	bantai yuk bantu eh
kyy baju2 ato amen muuuu	kaya baju-baju atau amin mu
niru aduuhhh tls bhay ad sstu	meniru aduh tulis selamat tinggal ada sesuatu
saya2 mantepp pelwak barengan	saya-saya mantap pelawak bersamaan 
kpuasan lagu2nya giti gemesss hpus	kepuasan lagu-lagunya begitu gemas hapus
duhhh pinter waah cew iseng2 gtu2an	duh pintar wah cewek iseng-iseng begitu-gituan
pasutri lvl goncengin penasaraaann	pasangan suami istri level  boncengkan penasaran
yapp dibanggain idolaa banpol	ya dibanggakan idola bantuan polisi
gaprgi aljasa tgh bazengg biza seterong	enggak pergi asal jadi saja tengah  bajingan bisa setrong
pengeeenn nontonya amiiinnn heii msti nipu	ingin menontonnya amin hai harus  tipu
dmna bandes blom sygkuu kata2nya coookkk	dimana  bantuan desa belum  sayangku kata-katanya jancuk
padhe rights dongggg gehh	pakde benar dong gih
adyem cemburuu yuuuukkk	adem cemburu yuk
dh menjdi menyebut2	sudah menjadi menyebut-nyebut
duuuhh sendratari murmer gasuka sampw	duh seni drama tari murah meriah tidak suka sampai
kslhn syediih kcwa rekomendain	kesalahan sedih kecewa rekomendasikan
trknal seburuk2 dirmh pcrnya	terkenal seburuk-buruk dirumah pacarnya
mane barengg sygkuu in tgn terkenall	mana  bareng sayangku ini tangan  terkenal
oprasi ngebolehin kalo	operasi membolehkan kalau 
lancr dipake yesss panggilan'ya anterin hapusin	lancar dipakai yes panggilannya antar hapuskan
tdny knapa yoi	tadinya  kenapa  iya
baanggeettt liatnya ngeklaim mauuuuuu nafkahin	banget lihatnya mengklaim mau menafkahi
aaaaahhhh celotehreceh ath haqq muliany	ah celoteh receh kalau begitu hakiki  mulianya
alamii blegug clbk	alami bodoh cinta lama bersemi kembali
lutuna gemeeezzzz emk	lucunya gemas emak
wkt still klkuan aph	waktu  masih kelakuan apa
nama2 jancuk heeee lhoo	nama-nama anjing hai loh
hdp yups imba astul ngitem ingi	hidup ya jago sekali asal tulis menghitam ingin
amiennnn duhh gretong	amien duh gratis
jk mmberikan jelekin tetep	jika memberikan menjelekkan tetap 
atuu asyikkkkk lgunya heii geetoo tar	satu asyik lagunya hai begitu entar
nyampah satuu slm knyataan katrok bosen	menyampah satu salam kenyataan kampungan bosan
sperti cowo nrka	seperti  cowok neraka
serem2 maksd sukaaaaaa hatii pk rempong	seram-seram maksud suka hati pakai repot
taiiii abizzz waw	tahi habis wow
belom diindonesis puterin pedes lgu	belum  diindonesia putar  pedas lagu
happy bangeeeeetttt inginkn	bahagia banget inginkan
temennya gile blik babget diindonesis jrg	temannya gila  balik banget diindonesia jarang 
mumpung flim.a duh muantaap iiih	selagi filmnya aduh mantap ih
ciuuuummmm psng sukaaaaaa terbaiiikkkkk tengil dsar	cium pasang  suka terbaik menyebalkan dasar
dpnrmh sukaa namany brb	depan rumah  suka namanya segera kembali
kapanliburanlagi yuuuuk tren kirimin brsyukur ak	kapan libur lagi yuk trend mengirimi bersyukur saya 
diapa2in coookkk azeeeek spti hasilnyaaa	diapa-apai jancuk asik seperti hasilnya
tah yeuh brengsekk ngriii	teh ya brengsek mengiri
bungkuuussss ktergantungan luv jorokkkk s'lalu	bungkus ketergantungan cinta jorok selalu
jugak nikahin ademm	juga menikahi adem
ortuny brshbt kasiatnya	orang tuanya bersahabat  khasiatnya
kususnya gasuka munaafikk ajg	khususnya tidak suka munafik anjing
sipp foto2 brs ayukk prwatn	sip foto-foto beres  yuk perawatan
bangedd dengarin bosen	banget mendengarkan bosan
nton centillll baryaw siapa2 wowoooww mntn	nonton  centil sabar ya siapa-siapa wow mantan
gretong ademm ditemenin mo klw nyubitt	gratis adem ditemani  mau  kalau  mencubit
gbs kerass tdak ngiri	enggak bisa keras tidak mengiri
brkunjun gan luthu	berkunjung juragan lucu
kapan2 mampet lbh beratttttttt	kapan-kapan mampat  lebih  berat
qmu dongggg dulurrr yg	kamu dong dulur yang 
gratisss aduhh skrg	gratis aduh sekarang 
gr serem2 troma nerima liat2 asliii	gede rasa seram-seram trauma menerima lihat-lihat asli
ajj hrgny kaciiaann	saja harganya  kasihan
iy mksdny wadir pk	iya maksudnya  wakil direktur pakai
nontonny kaaaaa semuannyaaa dpke dengeeriin adeeek	menontonnya kak semuanya dipakai dengarkan adek
dehhhh bngks hrg	deh bungkus  harga 
iniii malem yaw suk stp	ini malam ya suka setiap
wooow kata2 kata2nya ortu	wow kata-kata kata-katanya orangtua 
cptn seehh lanud	cepatan  sih landasan udara
nulis srta ngilang gabut bnrn kharismanya	menulis serta menghilang menganggur benaran karismanya
cewe x kelar kimpoi ciapa lagu2nya	cewek  kali selesai  kawin siapa lagu-lagunya
dlu romantiss hehh	dulu  romantis eh
segala2nya jugaakk segitunya	segala-galanya juga sebegitunya
cocokny stidaknya sospol ruko shayy kecakepan	cocoknya setidaknya sosial-politik rumah toko say kecakapan 
ternyataa sseorg nuduh	ternyata seseorang  menuduh
mdh2an asikkk zonk ntah	mudah-mudahan asik bodoh entah
hedeuuhh malem2 kapan2 gengges knan	aduh malam-malam  kapan-kapan ganggu kanan
jkt kpleset gituh hatii udahh	jakarta kepleset begitu  hati sudah
sbnrny nti cabal	sebenarnya  nanti  sabar 
jodohx ranmor ndut sowry	jodohnya kendaraan bermotor gendut maaf
tipe2 pemda mualll belain mmberikn teruss	tipe-tipe pemerintah daerah mual membela memberikan terus
